pool,team,w,p,sv,st,str_p
Heren 1,FYSIO FOR YOU,15,108,1297,859,0
Heren 1,JONIKA,15,92,1154,950,0
Heren 1,NEELE-VAT LOGISTICS,15,79,1141,969,0
Heren 1,SPORT 2000 / 'T ZAND,15,65,1117,1004,0
Heren 1,V.N.L.S.,15,48,989,1115,0
Heren 1,YOUNG MUNTER,15,38,1024,1173,0
Heren 1,KOPERARM,15,29,921,1243,0
Heren 1,DE GRAAF ASSURANTIEN,15,21,892,1222,0
Heren 2,DR.EAMTEAM,14,107,1268,840,0
Heren 2,EASTMAN,14,83,1132,871,0
Heren 2,BOWLING DE KRUITMOLEN / VV MZ,14,71,1112,988,0
Heren 2,KLAAS VAAK,14,45,1046,1118,0
Heren 2,MELLOW MUNTER,14,45,975,1062,0
Heren 2,SMA ZEELAND,14,43,981,1132,0
Heren 2,CZ,14,39,988,1166,0
Heren 2,PROVINCIE ZEELAND,14,13,891,1216,4
Dames 1,SNEAKERS,12,83,981,671,0
Dames 1,RESTAURANT VALKENISSE,11,71,864,565,0
Dames 1,'T KEN NET 1,11,48,805,725,0
Dames 1,KRAAMZORG POST,12,44,787,791,0
Dames 1,VLIJTIG LIESJE,12,43,797,834,0
Dames 1,V.N.L.S.,12,29,682,928,0
Dames 1,BOWLING DE KRUITMOLEN / MZ 1,12,10,601,1003,0
Dames 1,xxxx,0,0,0,0,0
Dames 2,JUMBO,11,66,785,633,0
Dames 2,KOOKBOERDERIJ KROMMENHOEKE,12,59,904,798,0
Dames 2,J2T / SVS 1,11,53,767,707,0
Dames 2,BOWLING DE KRUITMOLEN / MZ 2,11,42,772,750,0
Dames 2,'T KEN NET 2,11,42,752,802,0
Dames 2,CAMPINGSHOP CLARIJS / SVS 2,11,31,722,802,0
Dames 2,VV JONG AMBON,11,24,654,864,0
Dames 2,xxxx,0,0,0,0,0
