date;time;class;team_a;team_b;points_a;points_b
12-03-19;19:15;1H;DE GRAAF ASSURANTIEN;SPORT 2000 / ’T ZAND;3;5
12-03-19;19:15;2H;PROVINCIE ZEELAND;CZ;0;8 
12-03-19;19:15;1D;VLIJTIG LIESJE;BOWLING DE KRUITMOLEN / MZ 1;7;1 
12-03-19;19:15;2D;J2T / SVS 1;VV JONG AMBON;8;0 
12-03-19;20:15;1H;YOUNG MUNTER;FYSIO FOR YOU;3;5 
12-03-19;20:15;2H;CZ;SMA ZEELAND;8;0 
12-03-19;20:15;1D;KRAAMZORG POST;V.N.L.S.;3;5 
12-03-19;20:15;2D;KOOKBOERDERIJ KROMMENHOEKE;CAMPINGSHOP CLARIJS / SVS 2;5;3 
12-03-19;21:15;1H;KOPERARM;NEELE-VAT LOGISTICS;5;3 
12-03-19;21:15;2H;DR.EAMTEAM;EASTMAN;8;0 
12-03-19;21:15;1D;SNEAKERS;'T KEN NET 1;6;2 
12-03-19;21:15;2D;JUMBO;BOWLING DE KRUITMOLEN / MZ 2;1;7
